Forward_Sortation_Area,confirmationNo,Latitude,Longitude,formattedAddress,postalCode,supportDescription,riskType,submittedDate,startDate,endDate,owner,contractor,siteContact,compName,Vermiculite,Piping,Drywall,Insulation,Tiling,Floor_Tiles,Ceiling_Tiles,Ducting,Plaster,Stucco_Stipple,Fittings
R3M,1124122,49.8773345,-97.1653691,"633 Wellington Crescent, Winnipeg, MB R3M 0A8, Canada",R3M 0A8, An estimated  one hundred feet of air-cell pipe insulation is badly damaged and in need of immediate removal to allow for repair of the water pumps.  Asbestos work will be performed with glove bags.  Since there is a significant amount of pealing paint in the area the space will be enclosed as Type two and cleaned of loose paint and debris., Type II,Unavailable,2016-06-27 0:00,2016-06-28 0:00,Mike Hameluck ASD, Paragon Industries Ltd., Dave Zabowski, MWI Consulting,0,1,0,1,0,0,0,0,0,0,0
R3T,1124129,49.8093942,-97.1344793,"65 Chancellors Circle, Winnipeg, MB R2Z 2N2, Canada",R3T 2N2, Removal of  sq. ft. of drywall for door opening, Type III,Unavailable,2016-06-28 0:00,2016-06-30 0:00,Ray Guay, Smasher's Demolition, Hung Nguyen, Tesseract Environmental,0,0,1,0,0,0,0,0,0,0,0
R0E,1124142,50.4912574,-96.5921773,"400 West Street, Grand Beach, MB R0E 0T0, Canada",R0E 0T0, Type two abatement - Removal of drywall fifteen feet wide x eight feet high.  Hepa vac work area and clean up chambers.  Spray lock down when complete.  Treat drywall removal as asbestos containing material in drywall compound.  Will be done in three hour time frame., Type II,Unavailable,2016-06-28 0:00,2016-06-28 0:00,Priority Restoration, Priority Restoration, Lesley Wahl, NA,0,0,1,0,0,0,0,0,0,0,0
R2H,1124159,49.8843084,-97.1247487,"St.Bonaface Hospitial, Tache Avenue, Winnipeg, MB R2H 2A6, Canada",R2H 2A6, Removal of all insulation in mechanical room on piping fittings and tanks, Type III,Unavailable,2016-06-27 0:00,2016-07-15 0:00,Power Vac services, Power Vac Services, Zibi Nowak, AMEC Foster ,0,1,0,1,0,0,0,0,0,0,1
R3H,1124165,49.913897,-97.2012468,"1355 Border Street, Winnipeg, MB R3H 0N1, Canada",R3H 0N1,  clean up of crawlspace fallen insulation parging cement and ground dabrie. , Type III,Unavailable,2016-06-27 0:00,2016-07-22 0:00,Power Vac services, Power Vac Services, Austen, pinchin ,0,0,0,1,0,0,0,0,0,0,0
R3T,1124219,49.8070392,-97.1316393,"34 Maclean Crescent, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Glovebag removal of asbestos elbows on Hot Cold  Recirc Lines, Type II,Unavailable,2016-06-28 0:00,2016-06-30 0:00,Ray Guay, Smasher's Demolition, Hung Nguyen, Tesseract,0,0,0,0,0,0,0,0,0,0,0
R1A,1124358,50.1550594,-96.8872751,"825 Manitoba Avenue, Selkirk, MB R1A 0Z3, Canada",R1A 0Z3, Three asbestos fittings sized two inches need removal to facilitate repair.  Work will be performed as Glove bag., Type II,Unavailable,2016-06-29 0:00,2016-06-29 0:00,Selkirk Mental Health Centre, Paragon Industries Ltd., Dave Zabowski, MWI Consulting,0,0,0,0,0,0,0,0,0,0,1
R3T,1124466,49.8089651,-97.1366573,"71 Curry Place, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Removal of asbestos drywall in stairwell under  hours of work, Type II,Unavailable,2016-07-04 0:00,2016-07-08 0:00,Ray Guay, Smasher's Demolition, Hung Nguyen, Tesseract,0,0,1,0,0,0,0,0,0,0,0
R7A,1124474,49.8400793,-99.9364735,"150 McTavish Avenue East, Brandon, MB R7A 2B3, Canada",R7A 2B3, Flooring in Rooms GC two two two  and GC two two three.  this field will not accept numbers, Type II,Unavailable,2016-07-06 0:00,2016-07-06 0:00,Horizon Builders Ltd., Paragon Industries Ltd., Ole Larsen, Pinchin Brandon,0,0,0,0,0,0,0,0,0,0,0
R7A,1124484,49.8400793,-99.9364735,"150 McTavish Avenue East, Brandon, MB R7A 2B3, Canada",R7A 2B3, Plaster ceilings in corridor GC five four four and GC five four three require removal., Type III,Unavailable,2016-07-07 0:00,2016-07-16 0:00,Horizon Builders Ltd., Paragon Industries Ltd., Ole Larsen, Pinchin Brandon,0,0,0,0,0,0,0,0,1,0,0
R0J,1124499,50.2517629,-99.8387532,"110 Main Street, Minnedosa, MB R0J 1E0, Canada",R0J 1E0, Duct insulation paper - approximately four square meters in boiler room located in the basement, Type III,Unavailable,2016-07-05 0:00,2016-07-07 0:00,Kirk Saler, Restoration Manitoba, Dan Manser, Pinchin Environmental ,0,0,0,1,0,0,0,1,0,0,0
R3J,1124538,49.87952589,-97.20377838,"Viscount Gort Hotel, Winnipeg, MB R3J 0C9, Canada",R3J 0C9, Remove and dispose of asbestos plaster ceiling following type  procedures, Type III,Unavailable,2016-07-04 0:00,2016-07-29 0:00,Manshield, Power Vac, Shaun, amec,0,0,0,0,0,0,0,0,1,0,0
R2H,1124775,49.9193023,-97.0810684,"710 Grey Street, Winnipeg, MB R2H 2A6, Canada",R2H 2A6, Remove drywall from hallway third floor ceilings. ten independent hordings in two buildings. Remove drywall bulk heads in two separate laundry rooms., Type III,Unavailable,2016-07-06 0:00,2016-07-29 0:00,Crystal Construction Ltd, Power Vac Services, Russell Swallow, AMEC Foster ,0,0,1,0,0,0,0,0,0,0,0
R3E,1124847,49.9046013,-97.1604241,"745 Bannatyne Avenue, Winnipeg, MB R3E 0W3, Canada",R3E 0W3,Removing drywall with joint compound for new door using a Type II hoarding ,Type II,Unavailable,2016-07-04 0:00,2016-07-05 0:00,University of Manitoba - R. Chaput,Advance Robotics,Kurt Reykdale,Tesseract,0,0,1,0,0,0,0,0,0,0,0
R3T,1125205,49.8111006,-97.1302469,"220 Dysart Road, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Type 2 Clean-up of asbestos debris on air handling unit, Type II,Unavailable,2016-07-11 0:00,2016-07-14 0:00,Ray Guay, Smasher's Demoliton, Hung, Tesseract,0,0,0,0,0,0,0,0,0,0,0
R2K,1125303,49.9132124,-97.0646772,"1095 Concordia Avenue, Winnipeg, MB R2K 3S8, Canada",R2K 3S8, remove and dispose of sheet flooring in hallways following type 2 procedures, Type II,Unavailable,2016-07-12 0:00,2016-07-24 0:00,Concordia hospital, Powervac services, Paul , Pinchin ,0,0,0,0,0,0,0,0,0,0,0
R7A,1125360,49.8400793,-99.9364735,"150 McTavish Avenue East, Brandon, MB R7A 2B3, Canada",R7A 2B3, Removal of approx. 1000 sq ft of stipple ceiling, Type III,Unavailable,2016-07-12 0:00,2016-07-15 0:00,Horizen Builders, Paragon Industries, Ole Larsen, Pinchin,0,0,0,0,0,0,0,0,0,1,0
R3T,1125371,49.8095622,-97.1312644,"15 Chancellors Circle, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Clean-up of Asbestos ceiling debris from ceiling because of water leak, Type II,Unavailable,2016-07-06 0:00,2016-07-15 0:00,Ray Guay, Smasher's Demoliton, Hung, Tesseract,0,0,0,0,0,0,0,0,0,0,0
R3T,1125376,49.8070063,-97.138525,"17 Dafoe Road West, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Clean-up of debris on floor  removal of damaged asbestos elbows by glovebag, Type II,Unavailable,2016-07-06 0:00,2016-07-22 0:00,Ray Guay, Smasher's Demolition, Hung Nguyen, Tesseract,0,0,0,0,0,0,0,0,0,0,0
R3T,1125380,49.8092268,-97.1309911,"173 Dafoe Road West, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Removal of asbestos elbows on pipes in crawlspace  Remove dirt and debris within mechanical space crawlspace south end and in 114 stariwell, Type II,Unavailable,2016-07-07 0:00,2016-07-22 0:00,Ray Guay, Smasher's Demoliton, Hung Nguyen, Tesseract,0,1,0,0,0,0,0,0,0,0,0
R3M,1125385,49.8657976,-97.1603775,"911 Mulvey Avenue, Winnipeg, MB R3M 1G8, Canada",R3M 1G8, Asbestos on boiler has to be removed asap health concerns with the family  new furnace ductwork and AC to replace the boiler once its out Young kids in the home Need an allowance to start friday All other trades are scheduled based off of this as well Family is concerned now that they have learned about the asbestos, Type III,Unavailable,2016-07-08 0:00,2016-07-08 0:00,Devotte Batamuriza, On Time Group, Chris Cox, Brad Walker,0,0,0,0,0,0,0,1,0,0,0
R3B,1125398,49.900945,-97.138575,"185 King Street, Winnipeg, MB R3B 1J1, Canada",R3B 1J1, Modified type two clean up above marked ceiling tile and tracking     Type two setup for cleaning above ceiling tile tracking electrical and piping , Type II,Unavailable,2016-07-08 0:00,2016-07-10 0:00,Power Vac services, Power Vac Services, Austen Spence, pinchin ,0,1,0,0,1,0,1,0,0,0,0
R3R,1125429,49.868668,-97.2626477,"180 Alcrest Drive, Winnipeg, MB R3R 0Y1, Canada",R3R 0Y1, Basement Bathroom   Removal of less than 1 square metre or less than 4 cups of vermiculite in the basement bathroom ceiling as the ceiling and walls need to be removed, Type II,Unavailable,2016-07-11 0:00,2016-07-13 0:00,Priority Restoration, Priority Restoration, TBD, MWI,1,0,0,0,0,0,0,0,0,0,0
R9A,1125464,53.8197607,-101.2373412,"436 7 Street, The Pas, MB R9A 1M4, Canada",R9A 1M4, Gov of Manitoba Training - Type 2 Glove Bag and Type one Asbestos Floor tile Abatement Training on site starting July 6 - 7 2016Type one floor tile 30 sq feet type two glove bag 20 Ts and Elbows in auto shop, Type II,Unavailable,2016-07-06 0:00,2016-07-14 0:00,Mike Hameluck, Gov of Man ASD Training, UCN, MB gov,0,0,0,0,1,0,0,0,0,0,0
R3T,1125608,49.804644,-97.1369681,"13 Freedman Crescent, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Removal of asbestos elbows under sink in Ellis Room 261, Type II,Unavailable,2016-07-12 0:00,2016-07-14 0:00,Ray Guay, Smasher's Demoliton, Hung Nguyen, Tesseract,0,0,0,0,0,0,0,0,0,0,0
R3T,1125621,49.8089651,-97.1366573,"71 Curry Place, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Removal of parging cement by glovebag on main water line in Education Zone 1 , Type II,Unavailable,2016-07-13 0:00,2016-07-29 0:00,Ray Guay, Smasher's Demoliton, Hung Nguyen, Tesseract,0,0,0,0,0,0,0,0,0,0,0
R3C,1125660,49.8880099,-97.1402292,"305 Broadway, Winnipeg, MB R3C 3J7, Canada",R3C 3J7, Removal of drywall joint compound, Type III,Unavailable,2016-07-15 0:00,2016-07-17 0:00,BFL CANADA, Western Waste Management, TBA, Pinchin Ltd.,0,0,1,0,0,0,0,0,0,0,0
R2V,1125671,49.9367937,-97.1208171,"252 Hartford Avenue, Winnipeg, MB R2V 0W1, Canada",R2V 0W1, Ceiling textures and plaster throughout , Type II,Unavailable,2016-07-11 0:00,2016-07-13 0:00,Srena homes, Wreck it demolition inc, Eric, Tessaract ,0,0,0,0,0,0,0,0,1,0,0
R2G,1125793,49.9363737,-97.0786279,"426 Kingsford Avenue, Winnipeg, MB R2G 0J8, Canada",R2G 0J8, Water closet leak on 3rd floor wetted building materials on 2 floors below  Units 303 203 103    DJC ceiling stipple and floor tiles tested positive for asbestos    Type 3 procedures and containment will be implemented for each suite   Tenants have been evacuated    Expediancy is required to get tenant back into their suites    , Type III,Unavailable,2016-07-13 0:00,2016-07-27 0:00,Winnipeg Building and Decorating, Cogent Construction, Bill Surtherland, MWI Consultants Inc,0,0,0,0,1,1,0,0,0,1,0
R3H,1125799,49.9155581,-97.205457,"1615 King Edward Street, Winnipeg, MB R3H 0R7, Canada",R3H 0R7, Type 2 glovebag fire pump meter, Type II,Unavailable,2016-07-12 0:00,2016-07-12 0:00,Derksen Plumbing  Heating, Western Waste Management, Huu Lai, Tessaract Environmental Consulting,0,0,0,0,0,0,0,0,0,0,0
R0K,1125833,49.8098988,-99.6483362,"2 Petawawa Crescent Cfb, Shilo, MB R0K 2A0, Canada",R0K 2A0, Asbestos abatement  Wet removal -  added address 111 and 113 Kingston and 11 and 13 Royal Wet Abatement and Exhausting outdoors changes can not be done on line for 112591 July 12 2016 also site address witch will follow the same 111 Kingston Ave 113 Kingston Ave  11 Royal Ave  13 Royal Ave  at CFB Shilo in Shilo MB, Type III,Unavailable,2016-07-04 0:00,2016-07-31 0:00,Wreck It Demoilition, Wreck It Demolition , Eric Fluery Jr., Blue Lake Construction ,0,0,0,0,0,0,0,0,0,0,0
R0K,1125866,49.8059583,-99.6486281,"22 Esquimalt Crescent #20, Shilo, MB R0K 2A0, Canada",R0K 2A0, removal of floor tiles in each building wet removal of asbestos , Type I,Unavailable,2016-07-04 0:00,2016-07-31 0:00,Total Demolition,International Rigging , Eric Fluery Jr., Tesseract Consulting ,0,0,0,0,1,1,0,0,0,0,0
R0E,1125920,50.0789845,-96.8414243,"73013 Pioneer Road, East Selkirk, MB R0E 0M0, Canada",R0E 0M0, Water Damage due to sewer back up  We need to address the wet drywall ASAP  Please waive the 5 day notice  DJC contains asbestos  will need to remove approximately 12 feet by 9 feet and 2 feet by 5 feet  Can be completed in approximately 2 hours, Type II,Unavailable,2016-07-13 0:00,2016-07-13 0:00,Irene Bansh, Priority Restoration Services Ltd., Sing Lee, N/A,0,0,1,0,0,0,0,0,0,0,0
R1A,1125971,50.1226318,-96.8599346,"106 Craig Ave, Selkirk, MB R1A 2A8, Canada",R1A 2A8, Requesting permission to begin work ahead of 5 day notice period as further time delays are likely to cause secondary damages  Insured had a pipe leak on the second floor of their home damaging drywall and plaster in the stairwell which will have to be removed to clean and dry the structure properly  DJC has tested positive    Pinchin Environmental engaged for oversight of the project, Type III,Unavailable,2016-07-14 0:00,2016-07-15 0:00,David Bjornson, Priority Restoration Services Ltd., Ed Herring, Pinchin Environmental,0,1,1,0,0,0,0,0,1,0,0
R0K,1126015,49.806002,-99.639624,"Cfb Shilo, L132, Shilo, MB R0K 2A0, Canada",R0K 2A0, Asbestos Abatement and building demolition -wet abetment- Neg air, Type III,Unavailable,2016-07-12 0:00,2016-08-31 0:00,Total Demolition,International Rigging , Eric Fluery Jr., Tesseract Consulting ,0,0,0,0,0,0,0,0,0,0,0
R0E,1126267,50.0615604,-96.5156261,"602 Park Avenue, Beausejour, MB R0E 0C0, Canada",R0E 0C0, emergency clean up in royal bank of ruptured wall containing vermiculite, Type III,Unavailable,2016-07-16 0:00,2016-07-17 0:00,Power Vac services, Power Vac Services, Russell Swallow, pinchin,1,0,0,0,0,0,0,0,0,0,0
R2L,1126304,49.9031931,-97.0945085,"639 Nairn Avenue, Winnipeg, MB R2L 0X4, Canada",R2L 0X4, abatement of vermiculite in walls and attic as well as 2nd layer of vynyl flooring in bathroom as well as all textured walls in the house, Type III,Unavailable,2016-07-19 0:00,2016-07-21 0:00,srena homes, wreck it demolition inc, eric, tessaract,1,0,0,0,0,0,0,0,0,0,0
R2C,1126307,49.9002054,-97.0277611,"1500 Plessis Road, Winnipeg, MB R2C 5G6, Canada",R2C 5G6, removal of spray on fireproofing   drywall  mechanical insulation, Type III,Unavailable,2016-07-18 0:00,2016-08-31 0:00,EdgeCorp Group, Western Waste Management, Hien Nguyen, Tessaract Environmental ,0,0,1,1,0,0,0,0,0,0,0
R2H,1126330,49.8849016,-97.1251341,"409 Tache Avenue, Winnipeg, MB R2H 2A6, Canada",R2H 2A6, emergency type 2 removal of 24 square feet drywall containing less 1 percent - type 2 removal of 8 square feet plaster and wall tile, Type II,Unavailable,2016-07-14 0:00,2016-07-14 0:00,Power Vac services, Power Vac Services, Russell Swallow, AMEC Foster -Paul Houle,0,0,1,0,1,0,0,0,1,0,0
R3T,1126352,49.8113039,-97.1313242,"210 Dysart Road, Winnipeg, MB R3T 2N2, Canada",R3T 2N2, Removal of asbestos elbows in corridor 134 and women washroom 134A by glovebag in University College, Type II,Unavailable,2016-07-19 0:00,2016-08-26 0:00,Ray Guay, Smasher's Demolition, Hung Nguyen, Tesseract,0,0,0,0,0,0,0,0,0,0,0
R3M,1126389,49.8655406,-97.1803725,"1350 Grosvenor Avenue, Winnipeg, MB R3M 0P2, Canada",R3M 0P2, Floor tile removal, Type I,Unavailable,2016-07-18 0:00,2016-07-19 0:00,Winnipeg School Division, Powervac, Shawn Kohut, no consultant,0,0,0,0,1,0,0,0,0,0,0
R0E,1126399,50.0599996,-96.5172247,"519 Pacific Avenue, Beausejour, MB R0E 0C0, Canada",R0E 0C0, Requesting approval to proceed with work ahead of 5 day notice period  Water damage to bathroom and wet insulation above  DJC has been tested and is negative for asbestos  Crew found a small amount of Vermiculite left over possibly from a prior abatement  Amount is less than 4 cups  Will proceed with a Type 2 abatement, Type II,Unavailable,2016-07-15 0:00,2016-07-15 0:00,Jennifer Lowry, Priority Restoration Services, Abdel McIrdi, N/A,1,0,0,1,0,0,0,0,0,0,0
R3T,1126435,49.8399223,-97.006376,"884 Symington Road South, Winnipeg, MB R3T 3G7, Canada",R3T 3G7, We are removing approx. 200 sq ft of floor tile and are expecting some tile to fragment during the removal, Type II,Unavailable,2016-07-20 0:00,2016-07-20 0:00,Ralph Ritter CN Rail, Paragon Industries, Ole Larsen, MWI Consulting,0,0,0,0,1,0,0,0,0,0,0
R3H,1126482,49.9026052,-97.2230567,"800 Powerhouse Road, Winnipeg, MB R3H 1C7, Canada",R3H 1C7, Removal of Mechanical Insulation from Power House   Central Utilities Building at the Airport, Type III,Unavailable,2016-07-19 0:00,2016-07-29 0:00,Pinchin Ltd, Western Waste Management, Da Lai, Pinchin Ltd.,0,0,0,1,0,0,0,0,0,0,0
R3V,1126511,49.7634468,-97.1462919,"St Norbert Collegiate, 870 Sainte Therese Avenue, Winnipeg, MB R3V 1H8, Canada",R3V 1H8, Type 3 asbestos abatement of a boiler in boiler room 1, Type III,Unavailable,2016-07-21 0:00,2016-07-28 0:00,Lowe Mechanical Services Ltd., Paragon Industries, Ole Larsen, Tesseract Environmental,0,0,0,0,0,0,0,0,0,0,0
R3H,1126677,49.9367227,-97.2053478,"2221 King Edward Street, Winnipeg, MB R3H 0N1, Canada",R3H 0N1, Remove and dispose of asbestos on 3 boilers following typre 3 procedures, Type III,Unavailable,2016-07-23 0:00,2016-07-25 0:00,WSD, Power Vac, Shaun, pinchin,0,0,0,0,0,0,0,0,0,0,0
R0E,1126948,49.8954221,-97.1385145,"Td Storefront, 365 Main Stconcourse, Winnipeg, MB R0E 0C0, Canada",R0E 0C0, drywall-sprayon, Type III,Unavailable,2016-07-25 0:00,2016-09-02 0:00,Power Vac services, Power Vac Services, Russell Swallow, AMEC Foster ,0,0,1,0,0,0,0,0,0,0,0
R1N,1126954,49.9728103,-98.2910117,"7 Saskatchewan Avenue East, Portage la Prairie, MB R1N 0L8, Canada",R1N 0L8, parging cement and paster and drywall, Type III,Unavailable,2016-07-25 0:00,2016-08-05 0:00,Black and McDonald, Power Vac Services, Russell Swallow, pinchin,0,0,1,0,0,0,0,0,0,0,0
R0C,1127108,50.1345304,-97.3289476,"356 2nd Street West, Stonewall, MB R0C 2Z0, Canada",R0C 2Z0, removal of asbestos containing drywall and vermiculite from 2 exterior walls under Type 3 containment in the Kitchen after a flood from the upstairs bathroom, Type III,Unavailable,2016-07-01 0:00,2016-07-08 0:00,Priority Restoration, Kepsco Construction Managment, Kevin Sanders, Pinchin Environmental,1,0,1,0,0,0,0,0,0,0,0
